job_id,model,topology,seed,selection_regime,bottleneck_h1,bottleneck_h2,bottleneck_mean,bottleneck_mean_over_threshold,detected_h1,detected_h2,expected_h1,expected_h2,finite,h1_persistence_1,h1_persistence_2,h1_persistence_3,h2_persistence_1,h2_persistence_2,horizon,knn_scale,signature_distance,signature_match,zero_knn_fraction,task_success,validation_error
pilot__lstm__s1__seed10,lstm,s1,10,ring-selected zero-retuning,0.6932907104492188,0.054945945739746094,0.3741183280944824,0.06521866754818237,1,0,1,0,True,10.757853865623474,0.0,0.0,0.10989189147949219,0.09856128692626953,0,0.44421960204532973,0,True,0.0,True,0.0044144196435809135
pilot__lstm__s1__seed10,lstm,s1,10,ring-selected zero-retuning,0.4593067169189453,0.05148458480834961,0.25539565086364746,0.04452218134237282,1,0,1,0,True,10.925264954566956,0.0,0.0,0.10296916961669922,0.09905433654785156,128,0.43080757334424835,0,True,0.0,True,0.0044144196435809135
pilot__lstm__s1__seed10,lstm,s1,10,ring-selected zero-retuning,2.834527015686035,0.09443235397338867,1.464479684829712,0.2552973391665932,1,0,1,0,True,13.076958060264587,0.0,0.0,0.18886470794677734,0.15989208221435547,512,0.33435217139389284,0,True,0.0,True,0.0044144196435809135
pilot__lstm__s1__seed10,lstm,s1,10,ring-selected zero-retuning,5.736368775367737,4.76837158203125e-07,2.8681846261024475,0.5000000415626311,1,0,1,0,True,6.453807830810547,0.0,0.0,0.0,0.0,2048,0.07332801524639049,0,True,0.0,True,0.0044144196435809135
pilot__lstm__s1__seed10,lstm,s1,10,ring-selected zero-retuning,5.736368775367737,4.76837158203125e-07,2.8681846261024475,0.5000000415626311,0,0,1,0,True,0.0,0.0,0.0,0.0,0.0,4096,0.018915747758785347,1,False,0.0,True,0.0044144196435809135
broad__calru__s1__lr0p01_eta1000_i50__seed10,calru,s1,10,topology-specific validation-selected,0.4831562042236328,0.052410125732421875,0.26778316497802734,0.046681650964962726,1,0,1,0,True,10.97090357542038,0.0,0.0,0.10482025146484375,0.09566211700439453,0,0.1438521870835451,0,True,0.0,True,0.0027899411506950855
broad__calru__s1__lr0p01_eta1000_i50__seed10,calru,s1,10,topology-specific validation-selected,0.4153156280517578,0.055998802185058594,0.2356572151184082,0.04108125267858169,1,0,1,0,True,11.0377716422081,0.0,0.0,0.11199760437011719,0.10734844207763672,128,0.1420057181858716,0,True,0.0,True,0.0027899411506950855
broad__calru__s1__lr0p01_eta1000_i50__seed10,calru,s1,10,topology-specific validation-selected,0.4152383804321289,0.05595541000366211,0.2355968952178955,0.04107073733292056,1,0,1,0,True,11.037846893072128,0.0,0.0,0.11191082000732422,0.10727119445800781,512,0.14200475984502384,0,True,0.0,True,0.0027899411506950855
broad__calru__s1__lr0p01_eta1000_i50__seed10,calru,s1,10,topology-specific validation-selected,0.4149332046508789,0.05578184127807617,0.23535752296447754,0.04102900845132462,1,0,1,0,True,11.038141429424286,0.0,0.0,0.11156368255615234,0.10728740692138672,2048,0.1420009308126694,0,True,0.0,True,0.0027899411506950855
broad__calru__s1__lr0p01_eta1000_i50__seed10,calru,s1,10,topology-specific validation-selected,0.41452598571777344,0.05555105209350586,0.23503851890563965,0.040973397650950746,1,0,1,0,True,11.038534462451935,0.0,0.0,0.11110210418701172,0.10730171203613281,4096,0.1419958362155495,0,True,0.0,True,0.0027899411506950855
broad__hc__s1__lr0p01_a0p01_bm0p1_eta1000_i50__seed10,hc,s1,10,topology-specific CA-aware selected,0.027662545442581177,0.05933856964111328,0.04350055754184723,0.007583291668527461,1,0,1,0,True,11.453416794538498,0.0,0.0,0.11867713928222656,0.11071491241455078,0,0.2247756111821604,0,True,0.0,True,0.016481805592775345
broad__hc__s1__lr0p01_a0p01_bm0p1_eta1000_i50__seed10,hc,s1,10,topology-specific CA-aware selected,0.17762184143066406,0.06248903274536133,0.1200554370880127,0.02092882131350009,1,0,1,0,True,11.612633526325226,0.0,0.0,0.12497806549072266,0.10204315185546875,128,0.22747632171665771,0,True,0.0,True,0.016481805592775345
broad__hc__s1__lr0p01_a0p01_bm0p1_eta1000_i50__seed10,hc,s1,10,topology-specific CA-aware selected,1.3780269622802734,0.07500982284545898,0.7265183925628662,0.12665127034415458,1,0,1,0,True,12.653461396694183,0.0,0.0,0.15001964569091797,0.13149738311767578,512,0.20851196221967716,0,True,0.0,True,0.016481805592775345
broad__hc__s1__lr0p01_a0p01_bm0p1_eta1000_i50__seed10,hc,s1,10,topology-specific CA-aware selected,9.249547004699707,0.24093914031982422,4.745243072509766,0.8272207137180726,1,0,1,0,True,18.60972285270691,0.0,0.0,0.48187828063964844,0.43764305114746094,2048,0.13080513413553788,0,True,0.0,True,0.016481805592775345
