topology,model,model_label,condition_id,condition_axis,condition_value,condition_label,eligible_seed_count,finite_seed_count,error_median_radians,error_min_radians,error_max_radians,chance_ratio_median,id_error_ratio_median,status
s2,gru,GRU,velocity_x2,velocity,2.0,2x,0,0,,,,,,ineligible_id
s2,lstm,LSTM,velocity_x2,velocity,2.0,2x,3,3,0.323458731174469,0.29666489362716675,0.33371374011039734,0.25518763242585213,4.124263617588439,transition
s2,calru,CA-LRU,velocity_x2,velocity,2.0,2x,1,1,0.41120240092277527,0.41120240092277527,0.41120240092277527,0.32441160811550107,4.0338954310296815,transition
s1,rnn,RNN,velocity_x3,velocity,3.0,3x,1,1,0.6836280822753906,0.6836280822753906,0.6836280822753906,0.4755428324457433,6.026328396282861,transition
s1,gru,GRU,velocity_x3,velocity,3.0,3x,3,3,0.4601954221725464,0.4113120138645172,0.4698948562145233,0.3201194336694019,11.641482428747207,severely_degraded
s1,lstm,LSTM,velocity_x3,velocity,3.0,3x,3,3,0.3134417235851288,0.2994540333747864,0.3658972978591919,0.2180351698605369,8.748880068028809,severely_degraded
s1,calru,CA-LRU,velocity_x3,velocity,3.0,3x,3,3,0.47431090474128723,0.3814891278743744,0.5722323656082153,0.3299383933290688,8.68022147052541,severely_degraded
t2,rnn,RNN,velocity_x3,velocity,3.0,3x,0,0,,,,,,ineligible_id
t2,gru,GRU,velocity_x3,velocity,3.0,3x,3,3,0.6878641843795776,0.6674715280532837,0.697409987449646,0.4435441606093585,11.297556680563114,severely_degraded
t2,lstm,LSTM,velocity_x3,velocity,3.0,3x,3,3,0.5748730897903442,0.5273363590240479,0.6077365875244141,0.37068596949548765,8.947692286090883,severely_degraded
t2,calru,CA-LRU,velocity_x3,velocity,3.0,3x,3,3,0.4683147668838501,0.42426085472106934,0.5242576003074646,0.30197571685727054,14.874384686339333,severely_degraded
s2,rnn,RNN,velocity_x3,velocity,3.0,3x,0,0,,,,,,ineligible_id
s2,gru,GRU,velocity_x3,velocity,3.0,3x,0,0,,,,,,ineligible_id
s2,lstm,LSTM,velocity_x3,velocity,3.0,3x,3,3,0.9329447746276855,0.9252039194107056,0.9357631206512451,0.729463273065672,12.38515142661076,severely_degraded
s2,calru,CA-LRU,velocity_x3,velocity,3.0,3x,1,1,0.931404709815979,0.931404709815979,0.931404709815979,0.728259106700381,9.13707992690396,severely_degraded
s1,rnn,RNN,velocity_x4,velocity,4.0,4x,1,1,0.9798390865325928,0.9798390865325928,0.9798390865325928,0.669652591513912,8.637492028275894,severely_degraded
s1,gru,GRU,velocity_x4,velocity,4.0,4x,3,3,0.7401336431503296,0.6714892387390137,0.7565369606018066,0.5058304154370604,18.33655484350652,severely_degraded
s1,lstm,LSTM,velocity_x4,velocity,4.0,4x,3,3,0.578076183795929,0.5481605529785156,0.6077973246574402,0.39507529337424496,16.13543705785797,severely_degraded
s1,calru,CA-LRU,velocity_x4,velocity,4.0,4x,3,3,0.6768977642059326,0.6644004583358765,0.8541406393051147,0.46261304352997745,12.956502221373329,severely_degraded
t2,rnn,RNN,velocity_x4,velocity,4.0,4x,0,0,,,,,,ineligible_id
t2,gru,GRU,velocity_x4,velocity,4.0,4x,3,3,1.0904595851898193,1.0594427585601807,1.1017107963562012,0.692132628870332,17.932022732946145,severely_degraded
t2,lstm,LSTM,velocity_x4,velocity,4.0,4x,3,3,0.9230952262878418,0.883213996887207,0.9428668022155762,0.585903718345547,13.881806996944343,severely_degraded
t2,calru,CA-LRU,velocity_x4,velocity,4.0,4x,3,3,0.8288222551345825,0.7968220710754395,0.8444858193397522,0.5260671134480219,27.93620453042733,severely_degraded
s2,rnn,RNN,velocity_x4,velocity,4.0,4x,0,0,,,,,,ineligible_id
s2,gru,GRU,velocity_x4,velocity,4.0,4x,0,0,,,,,,ineligible_id
