topology,model,model_label,eligible_seed_count,kick_radius_relative,recovery_horizon,recovery_ratio_median,recovery_ratio_min,recovery_ratio_max,same_memory_error_normalized_median,same_memory_error_normalized_min,same_memory_error_normalized_max,same_memory_error_radians_median,status
t2,gru,GRU,3,0.1,1,0.506222128868103,0.5045660734176636,0.5084168314933777,0.00585595378652215,0.005849077366292477,0.005990804173052311,0.018397021395499317,trajectory
t2,gru,GRU,3,0.1,16,0.19039727747440338,0.19027139246463776,0.19189241528511047,0.0050284224562346935,0.004947926849126816,0.00522802397608757,0.015797255047652857,trajectory
t2,gru,GRU,3,0.1,128,0.1569991111755371,0.15252482891082764,0.16417831182479858,0.005106569733470678,0.005055694840848446,0.005423976574093103,0.01604276195971547,trajectory
t2,gru,GRU,3,0.1,512,0.14514502882957458,0.13811776041984558,0.1593174785375595,0.005233174655586481,0.005036009009927511,0.005999798886477947,0.016440503052942784,trajectory
t2,gru,GRU,3,0.1,2048,0.068062424659729,0.05768938362598419,0.09205573052167892,0.006149808876216412,0.00574760977178812,0.007277012802660465,0.01932019438650278,survived
t2,lstm,LSTM,3,0.1,0,1.0,1.0,1.0,0.008970818482339382,0.008661018684506416,0.009162320755422115,0.02818265744080494,trajectory
t2,lstm,LSTM,3,0.1,1,0.5095455050468445,0.5080627202987671,0.5105843544006348,0.0040164366364479065,0.003959509544074535,0.004036762751638889,0.012618007830673642,trajectory
t2,lstm,LSTM,3,0.1,16,0.1363239884376526,0.1347394585609436,0.1396920084953308,0.0038093028124421835,0.0037798085249960423,0.003811151720583439,0.0119672777308673,trajectory
t2,lstm,LSTM,3,0.1,128,0.11766719818115234,0.1150781661272049,0.12046653032302856,0.0038911299780011177,0.0038577697705477476,0.003946254029870033,0.012224345353051325,trajectory
t2,lstm,LSTM,3,0.1,512,0.09992661327123642,0.09918002784252167,0.1071925014257431,0.004265085328370333,0.004055208992213011,0.004370937589555979,0.013399160734541848,trajectory
t2,lstm,LSTM,3,0.1,2048,0.025219038128852844,0.021798353642225266,0.06153086945414543,0.005117662716656923,0.004891473799943924,0.006689439527690411,0.016077611594199775,survived
t2,calru,CA-LRU,3,0.1,0,1.0,1.0,1.0,0.002811003942042589,0.002694397233426571,0.0028832454700022936,0.008831029333532947,trajectory
t2,calru,CA-LRU,3,0.1,1,0.7505320310592651,0.7494926452636719,0.7519020438194275,0.0021403892897069454,0.002029739087447524,0.002161989454180002,0.006724231268365615,trajectory
t2,calru,CA-LRU,3,0.1,16,0.33203932642936707,0.30168288946151733,0.3375086784362793,0.0008805686957202852,0.0008169990032911301,0.0009029239881783724,0.002766388145455994,trajectory
t2,calru,CA-LRU,3,0.1,128,0.33066612482070923,0.2982702851295471,0.3360087275505066,0.0008775143651291728,0.0008218662696890533,0.0008961240528151393,0.0027567926829093208,trajectory
t2,calru,CA-LRU,3,0.1,512,0.33066612482070923,0.2982702851295471,0.3360087275505066,0.0008775143651291728,0.0008218676084652543,0.0008961240528151393,0.0027567926829093208,trajectory
t2,calru,CA-LRU,3,0.1,2048,0.33066612482070923,0.2982702851295471,0.3360087275505066,0.0008775143651291728,0.0008218676084652543,0.0008961240528151393,0.0027567926829093208,survived
t2,rnn,RNN,0,0.25,0,,,,,,,,ineligible_id
t2,rnn,RNN,0,0.25,1,,,,,,,,ineligible_id
t2,rnn,RNN,0,0.25,16,,,,,,,,ineligible_id
t2,rnn,RNN,0,0.25,128,,,,,,,,ineligible_id
t2,rnn,RNN,0,0.25,512,,,,,,,,ineligible_id
t2,rnn,RNN,0,0.25,2048,,,,,,,,ineligible_id
t2,gru,GRU,3,0.25,0,1.0,1.0,1.0,0.016555430367588997,0.01652253419160843,0.01675926335155964,0.05201041841983496,trajectory
t2,gru,GRU,3,0.25,1,0.506134569644928,0.5045515894889832,0.5080624222755432,0.014668122865259647,0.014660199172794819,0.014989107847213745,0.04608126703545218,trajectory
t2,gru,GRU,3,0.25,16,0.19008661806583405,0.18857553601264954,0.19021868705749512,0.012600699439644814,0.012387402355670929,0.013095064088702202,0.03958626478968117,trajectory
t2,gru,GRU,3,0.25,128,0.15649618208408356,0.1531909853219986,0.1629190444946289,0.012807073071599007,0.012648014351725578,0.013577688485383987,0.04023460667572311,trajectory
t2,gru,GRU,3,0.25,512,0.14244285225868225,0.1392890214920044,0.15480095148086548,0.01307028066366911,0.012662531808018684,0.014986637979745865,0.0410614977133396,trajectory
t2,gru,GRU,3,0.25,2048,0.05731143802404404,0.0387108214199543,0.07397504150867462,0.015972375869750977,0.014772908762097359,0.01676763780415058,0.05017869869278455,survived
t2,lstm,LSTM,3,0.25,0,1.0,1.0,1.0,0.02246399223804474,0.021685190498828888,0.022997908294200897,0.07057271298533949,trajectory
t2,lstm,LSTM,3,0.25,1,0.5096942186355591,0.507870078086853,0.5098447203636169,0.010038037784397602,0.009899549186229706,0.010120140388607979,0.03153542575992027,trajectory
t2,lstm,LSTM,3,0.25,16,0.1363902986049652,0.13467402756214142,0.1390083134174347,0.009521665051579475,0.00944625586271286,0.009529158473014832,0.02991319297598476,trajectory
t2,lstm,LSTM,3,0.25,128,0.11783035844564438,0.11514179408550262,0.12141355872154236,0.009721022099256516,0.009634286165237427,0.009865207597613335,0.030539491612408296,trajectory
t2,lstm,LSTM,3,0.25,512,0.09930985420942307,0.09918837249279022,0.10741110146045685,0.010642776265740395,0.010208971798419952,0.010913942009210587,0.03343526773024984,trajectory
t2,lstm,LSTM,3,0.25,2048,0.01760784164071083,0.016797378659248352,0.0420386865735054,0.014413938857614994,0.011895515955984592,0.016143670305609703,0.04528272442437572,survived
t2,calru,CA-LRU,3,0.25,0,1.0,1.0,1.0,0.007076122798025608,0.006753719411790371,0.007218741811811924,0.022230295398176503,trajectory
t2,calru,CA-LRU,3,0.25,1,0.750546932220459,0.749481201171875,0.7518984079360962,0.00536067970097065,0.005088070873171091,0.005440918728709221,0.016841071966817323,trajectory
