job_id,model,model_label,topology,seed,task_success,validation_error,selection_regime,component_mse,condition_axis,condition_id,condition_label,condition_value,divergence_step,dwell_profile,dwell_step_mean_error_radians,finite,gp_length_scale,hold_baseline_mean_error_radians,horizon,last_quarter_mean_error_radians,moving_step_mean_error_radians,output_norm_absolute_error,post_blank_0_mean_error_radians,post_blank_0_median_error_radians,post_blank_128_mean_error_radians,post_blank_128_median_error_radians,post_blank_512_mean_error_radians,post_blank_512_median_error_radians,sequence_mean_error_radians,terminal_mean_error_radians,trial_median_error_radians,trial_p90_error_radians,velocity_scale
pilot__rnn__s1__seed11,rnn,RNN,s1,11,False,0.025653602555394173,ring-selected zero-retuning,0.005348358303308487,dwell,dwell_p0p50,active p=0.50,0.5,,fixed_probability,0.06354793161153793,True,1.0,1.2523558139801025,128,0.10093128681182861,0.06746282428503036,0.033310212194919586,0.11251617968082428,0.0998680591583252,0.17311987280845642,0.1470341682434082,0.43484413623809814,0.43526458740234375,0.06552352756261826,0.11251617968082428,0.05288475379347801,0.10627659410238266,1.0
pilot__rnn__s1__seed11,rnn,RNN,s1,11,False,0.025653602555394173,ring-selected zero-retuning,0.0075975204817950726,dwell,dwell_p0p75,active p=0.75,0.75,,fixed_probability,0.07743319869041443,True,1.0,1.375307321548462,128,0.12659335136413574,0.07765558362007141,0.03772054985165596,0.140680730342865,0.11447596549987793,0.17873141169548035,0.16389775276184082,0.42387861013412476,0.42825913429260254,0.07760025560855865,0.140680730342865,0.06162551790475845,0.13429734110832214,1.0
pilot__rnn__s1__seed11,rnn,RNN,s1,11,False,0.025653602555394173,ring-selected zero-retuning,0.006635528989136219,id,id_h128,ID T=128,128,,variable_sparsity,0.06356058269739151,True,1.0,1.2498135566711426,128,0.12083977460861206,0.08067216724157333,0.03496188297867775,0.13178779184818268,0.11314201354980469,0.1859278380870819,0.1530606746673584,0.4475271701812744,0.45023512840270996,0.07646007090806961,0.13178779184818268,0.06287020444869995,0.14159800112247467,1.0
pilot__rnn__s1__seed11,rnn,RNN,s1,11,False,0.025653602555394173,ring-selected zero-retuning,0.13745218515396118,length,length_h1024,T=1024,1024,,variable_sparsity,0.32686376571655273,True,1.0,1.4843645095825195,1024,0.6918885707855225,0.442350298166275,0.034894756972789764,0.7829123139381409,0.7468597888946533,0.7752197980880737,0.7655450701713562,0.8439814448356628,0.7538492679595947,0.41405627131462097,0.7829123139381409,0.3813868463039398,0.6852704286575317,1.0
pilot__rnn__s1__seed11,rnn,RNN,s1,11,False,0.025653602555394173,ring-selected zero-retuning,0.3943825960159302,length,length_h2048,T=2048,2048,,variable_sparsity,0.6018459796905518,True,1.0,1.5195776224136353,2048,1.3143463134765625,0.8340893387794495,0.03441952168941498,1.4885226488113403,1.475531816482544,1.4860090017318726,1.4787704944610596,1.5085582733154297,1.4792873859405518,0.7771456241607666,1.4885226488113403,0.771719217300415,1.3023130893707275,1.0
pilot__rnn__s1__seed11,rnn,RNN,s1,11,False,0.025653602555394173,ring-selected zero-retuning,0.01612248457968235,length,length_h256,T=256,256,,variable_sparsity,0.1081961840391159,True,1.0,1.345548152923584,256,0.20877425372600555,0.13756893575191498,0.034497037529945374,0.23141884803771973,0.22064733505249023,0.2594737708568573,0.232069730758667,0.4503134489059448,0.41735339164733887,0.13037140667438507,0.23141884803771973,0.11305957287549973,0.22226890921592712,1.0
pilot__rnn__s1__seed11,rnn,RNN,s1,11,False,0.025653602555394173,ring-selected zero-retuning,0.046280790120363235,length,length_h512,T=512,512,,variable_sparsity,0.1865585297346115,True,1.0,1.435025930404663,512,0.37902653217315674,0.2456354945898056,0.03488870710134506,0.41577762365341187,0.40924882888793945,0.4225282073020935,0.3716137409210205,0.560810923576355,0.4909650981426239,0.23114976286888123,0.41577762365341187,0.2201727330684662,0.3832990825176239,1.0
pilot__rnn__s1__seed11,rnn,RNN,s1,11,False,0.025653602555394173,ring-selected zero-retuning,0.007602069526910782,smoothness,smooth_l0p5,GP ell=0.5,0.5,,variable_sparsity,0.06145361438393593,True,0.5,1.2179415225982666,128,0.12637674808502197,0.08640787750482559,0.038042932748794556,0.1341363787651062,0.11235880851745605,0.18163159489631653,0.15332722663879395,0.4198657274246216,0.40688014030456543,0.08026526868343353,0.1341363787651062,0.06561323255300522,0.14968809485435486,1.0
pilot__rnn__s1__seed11,rnn,RNN,s1,11,False,0.025653602555394173,ring-selected zero-retuning,0.0073235719464719296,smoothness,smooth_l2,GP ell=2.0,2.0,,variable_sparsity,0.06381990015506744,True,2.0,1.252528429031372,128,0.1313132345676422,0.08555854111909866,0.0347391813993454,0.1452983319759369,0.12780523300170898,0.20763404667377472,0.189591646194458,0.4471030831336975,0.43370601534843445,0.0802074670791626,0.1452983319759369,0.06670486927032471,0.14304830133914948,1.0
pilot__rnn__s1__seed11,rnn,RNN,s1,11,False,0.025653602555394173,ring-selected zero-retuning,0.003251106711104512,velocity,velocity_x0p5,0.5x,0.5,,variable_sparsity,0.052342597395181656,True,1.0,1.0554780960083008,128,0.08960030227899551,0.05546030029654503,0.02800867334008217,0.09921285510063171,0.09284615516662598,0.1741100251674652,0.163008451461792,0.4275742769241333,0.41558146476745605,0.054692864418029785,0.09921285510063171,0.049149006605148315,0.09127376228570938,0.5
